StudentID,FYGPA,Sex,IPEDSrace,FYAid,HSClassRank,SATreading,SATmath,SATwriting,ACT,Major,Division
366,2.68,F,BL,35000-44999,NA,600,590,560,NA,HIST,Humanities
367,1.7,F,HI,35000-44999,2nd decile,620,580,590,NA,ENVI,NatSci
368,3.3,F,HI,1-15000,4th decile,570,610,520,25,PSYC,SocSci
369,3.18,M,WH,35000-44999,2nd decile,700,740,710,35,PHYS,NatSci
370,3.59,M,WH,25000-34999,Top 5,680,710,740,NA,PHIL,Humanities
371,3.77,M,NR,0,NA,470,750,520,NA,MUSI,Arts
372,3.31,F,HI,1-15000,2nd decile,650,690,670,NA,GEOG,SocSci
373,3.09,F,AS,35000-44999,2nd decile,650,720,660,30,SOCI,SocSci
374,3.44,M,WH,15001-24999,NA,710,700,690,NA,NEUR,NatSci
375,3.5,F,NR,35000-44999,NA,610,690,630,NA,ECON,SocSci
376,2.51,M,WH,35000-44999,2nd decile,NA,NA,NA,27,ECON,SocSci
377,3.21,M,NR,15001-24999,NA,750,740,640,NA,MSCS,NatSci
378,3.02,F,WH,35000-44999,5th decile,620,700,690,27,ART,Arts
379,3.76,F,WH,0,2nd decile,650,710,660,29,MUSI,Arts
380,3.07,F,WH,1-15000,NA,NA,NA,NA,26,ANTH,SocSci
381,3.24,M,HI,35000-44999,4th decile,490,640,480,21,ECON,SocSci
382,2.89,F,AS,0,2nd decile,NA,NA,NA,31,THDA,Arts
383,3.72,F,WH,35000-44999,Top 5,680,680,720,30,PSYC,SocSci
384,3.76,F,AS,0,2nd decile,690,710,740,NA,ENGL,Humanities
385,3.85,F,WH,1-15000,Top 5,800,680,760,32,ENVI,NatSci
386,2.71,M,HI,35000-44999,2nd decile,540,660,570,NA,POLI,SocSci
387,3.91,F,WH,1-15000,NA,650,650,650,NA,HIST,Humanities
388,3.1,M,WH,1-15000,NA,NA,NA,NA,27,ANTH,SocSci
389,3.61,M,WH,0,NA,760,630,660,NA,BIOL,NatSci
390,3.19,F,WH,1-15000,NA,NA,NA,NA,34,BIOL,NatSci
391,3.65,F,AS,1-15000,NA,700,530,560,25,HIST,Humanities
392,2.87,M,WH,0,NA,620,680,710,NA,POLI,SocSci
393,3.89,F,NR,25000-34999,NA,620,780,670,NA,ECON,SocSci
394,3.23,F,WH,25000-34999,NA,630,570,670,29,POLI,SocSci
395,3.36,M,HI,35000-44999,2nd decile,560,420,520,NA,HIST,Humanities
396,3.16,M,HI,35000-44999,1st decile,410,550,490,NA,ART,Arts
397,3.57,F,NR,15001-24999,NA,530,640,470,NA,ECON,SocSci
398,3.38,F,NR,15001-24999,1st decile,570,800,650,NA,MSCS,NatSci
399,3.81,F,NR,25000-34999,Top 5,500,780,630,NA,ECON,SocSci
400,3.47,M,WH,35000-44999,Top 5,NA,NA,NA,26,ECON,SocSci
401,3.47,M,WH,35000-44999,1st decile,NA,NA,NA,27,POLI,SocSci
402,3.89,F,NR,15001-24999,Top 5,570,800,720,NA,ECON,SocSci
403,3.46,F,AS,15001-24999,NA,690,620,590,NA,MSCS,NatSci
404,3.08,F,HI,35000-44999,1st decile,NA,NA,NA,21,ANTH,SocSci
405,3.51,M,WH,0,1st decile,NA,NA,NA,29,RELI,Humanities
406,2.22,M,WH,0,NA,800,740,780,NA,PHIL,Humanities
407,3.85,M,WH,0,NA,690,650,660,30,THDA,Arts
408,3.21,M,WH,25000-34999,NA,620,730,640,NA,CHEM,NatSci
409,3.51,F,AS,0,3rd decile,NA,NA,NA,25,GEOG,SocSci
410,3.5,F,WH,25000-34999,Top 5,550,710,670,NA,ENVI,NatSci
411,3.94,F,NR,35000-44999,NA,550,600,560,NA,PSYC,SocSci
412,3.47,F,WH,15001-24999,2nd decile,800,660,710,31,PHIL,Humanities
413,3.57,F,WH,15001-24999,1st decile,750,690,710,NA,MUSI,Arts
414,3.58,M,WH,25000-34999,2nd decile,740,680,670,31,GEOG,SocSci
415,3.6,F,AS,35000-44999,2nd decile,720,760,760,NA,ANTH,SocSci
416,3.63,M,WH,35000-44999,NA,620,720,650,30,MUSI,Arts
417,3.41,M,WH,15001-24999,1st decile,690,730,730,31,ART,Arts
418,3.56,F,WH,25000-34999,Top 5,670,720,800,NA,PSYC,SocSci
419,3.66,F,WH,1-15000,Top 5,640,630,580,29,HISP,Humanities
420,2.43,M,WH,1-15000,NA,770,680,670,32,ENVI,NatSci
421,3.66,F,NR,35000-44999,NA,600,610,490,NA,BIOL,NatSci
422,3.12,M,NR,0,NA,600,700,600,NA,ECON,SocSci
423,3.81,F,NR,25000-34999,Top 5,540,800,700,NA,MSCS,NatSci
424,3.44,M,NR,35000-44999,NA,440,600,400,NA,PHYS,NatSci
425,3.62,F,AS,35000-44999,Top 5,NA,NA,NA,27,ASIA,Humanities
426,2.62,M,WH,35000-44999,3rd decile,NA,NA,NA,30,CHEM,NatSci
427,3.6,M,WH,0,2nd decile,620,610,620,NA,POLI,SocSci
428,3.51,F,WH,0,NA,650,690,720,NA,PSYC,SocSci
429,3.61,F,WH,1-15000,2nd decile,700,670,710,32,ENGL,Humanities
430,3.53,F,WH,25000-34999,NA,630,740,690,NA,MSCS,NatSci
431,2.46,M,BL,25000-34999,1st decile,580,550,630,NA,POLI,SocSci
432,3.36,F,BL,35000-44999,NA,NA,NA,NA,28,AMST,Humanities
433,3.58,M,AS,1-15000,Top 5,NA,NA,NA,31,GEOG,SocSci
434,3.69,F,WH,0,1st decile,680,710,780,NA,MUSI,Arts
435,3.81,M,AS,35000-44999,NA,730,800,660,NA,PHIL,Humanities
436,3.26,F,HI,25000-34999,3rd decile,680,620,740,NA,HISP,Humanities
437,3.44,M,WH,35000-44999,NA,740,720,690,33,PHYS,NatSci
438,3.39,M,NR,25000-34999,NA,740,800,780,NA,ECON,SocSci
439,2.94,M,WH,1-15000,NA,640,800,590,NA,GEOL,NatSci
440,3.11,M,NR,1-15000,NA,650,800,590,NA,PHIL,Humanities
441,3.74,M,AS,0,2nd decile,660,650,690,NA,INTL,SocSci
442,2.67,M,WH,25000-34999,NA,700,690,700,NA,MSCS,NatSci
443,2.48,M,NR,35000-44999,NA,590,780,710,NA,ECON,SocSci
444,3.52,F,WH,0,NA,750,800,720,NA,ART,Arts
445,3.25,F,WH,1-15000,NA,640,630,700,NA,AMST,Humanities
446,3.75,M,WH,25000-34999,Top 5,NA,NA,NA,29,CHEM,NatSci
447,2.77,M,WH,15001-24999,2nd decile,NA,NA,NA,32,LING,SocSci
448,3.46,M,WH,0,NA,740,760,580,31,HISP,Humanities
449,3.42,F,HI,35000-44999,NA,650,550,590,26,ART,Arts
450,3.83,F,WH,25000-34999,Top 5,760,680,720,NA,AMST,Humanities
451,3.63,F,WH,35000-44999,2nd decile,660,730,800,NA,ENGL,Humanities
452,2.66,F,AS,35000-44999,NA,680,690,670,NA,ECON,SocSci
453,3.14,M,WH,25000-34999,Top 5,NA,NA,NA,32,PHIL,Humanities
454,3.73,F,WH,15001-24999,Top 5,790,660,700,32,ANTH,SocSci
455,3.78,F,WH,35000-44999,1st decile,700,710,650,32,ENGL,Humanities
456,3.85,F,WH,35000-44999,Top 5,730,610,720,34,THDA,Arts
457,3.41,M,WH,25000-34999,Top 5,NA,NA,NA,28,SOCI,SocSci
458,3.43,F,AS,25000-34999,NA,760,690,690,NA,MSCS,NatSci
459,3.83,F,WH,15001-24999,NA,800,720,670,NA,CHEM,NatSci
460,3.83,M,WH,15001-24999,NA,800,660,730,NA,ENVI,NatSci
461,3.57,M,WH,35000-44999,Top 5,740,710,640,33,ASIA,Humanities
462,3.61,M,WH,0,1st decile,710,690,680,31,NEUR,NatSci
463,3.8,M,WH,15001-24999,4th decile,740,570,780,NA,ENGL,Humanities
464,3.55,F,WH,25000-34999,Top 5,690,730,690,32,PSYC,SocSci
465,3.63,F,WH,0,2nd decile,630,650,700,NA,EDU,SocSci
466,2.86,F,BL,35000-44999,NA,560,580,480,NA,CHEM,NatSci
467,3.4,F,WH,0,NA,660,620,710,NA,MUSI,Arts
468,3.54,M,WH,25000-34999,3rd decile,780,800,800,34,MSCS,NatSci
469,3.74,M,WH,0,1st decile,740,720,760,34,MUSI,Arts
470,3.66,F,WH,1-15000,NA,610,690,660,28,NEUR,NatSci
471,3.77,F,AS,35000-44999,NA,NA,NA,NA,26,ART,Arts
472,3.29,F,WH,1-15000,NA,750,780,800,NA,MSCS,NatSci
473,3.54,F,WH,1-15000,NA,800,670,700,NA,MSCS,NatSci
474,3.68,M,WH,0,Top 5,NA,NA,NA,33,SOCI,SocSci
475,3.17,M,AS,35000-44999,1st decile,510,670,450,NA,JAPA,Humanities
476,3.43,M,WH,0,NA,750,580,730,NA,HIST,Humanities
477,3.24,F,WH,35000-44999,Top 5,NA,NA,NA,31,GEOG,SocSci
