TotalKg,SWR,Equipment,BodyweightKg,Age,Sex
672.5,4.803571429,Raw,140,30,M
127.01,1.693466667,Raw,75,12,M
152.5,1.412037037,Raw,108,21,M
170,1.7507724,Raw,97.1,29,M
150,1.835985312,Raw,81.7,19,M
233.6,3.213204952,Raw,72.7,16,M
322.5,3.909090909,Raw,82.5,26,F
727.5,5.951407068,Single-ply,122.24,55,M
42.5,0.482954545,Raw,88,72,M
250,4.466678578,Raw,55.97,37,F
562.5,6.744604317,Raw,83.4,26,M
281.23,5.021964286,Raw,56,15,M
452.5,5.101465614,Raw,88.7,27,F
250,4.230118443,Wraps,59.1,23,F
350,5.845999666,Single-ply,59.87,41,F
544.95,6.173671689,Wraps,88.27,26,M
462.5,5.914322251,Raw,78.2,20,M
680,6.254023729,Raw,108.73,24,M
495,5.543113102,Raw,89.3,36,M
182.5,3.297795446,Raw,55.34,26,F
440,5.459057072,Raw,80.6,31,M
598.74,5.443090909,Raw,110,20,M
182.5,1.529885154,Wraps,119.29,25,F
507.5,6.858108108,Raw,74,24,M
287.5,4.956896552,Raw,58,19,F
627.32,6.2732,Wraps,100,31,M
602.5,5.482256597,Raw,109.9,23,M
210.92,1.722217686,Raw,122.47,18,M
435,4.918032787,Raw,88.45,24,M
290,2.071428571,Single-ply,140,18,M
475,5.413105413,Raw,87.75,36,M
180,1.636363636,Raw,110,30,M
130,1.841359773,Raw,70.6,20,F
640,6.4,Wraps,100,21,M
170,1.588785047,Raw,107,39,M
547.5,5.485971944,Raw,99.8,30,M
465,5.770662695,Raw,80.58,43,M
220,3.70994941,Raw,59.3,27,F
450,5.562422744,Raw,80.9,26,M
182.5,2.323065173,Raw,78.56,18,M
285,2.923076923,Raw,97.5,18,F
440,5.937921727,Raw,74.1,23,M
380,5.114401077,Raw,74.3,26,F
285,5.172413793,Raw,55.1,19,F
437.5,5.401234568,Raw,81,26,M
260,5.464480874,Raw,47.58,31,F
97.5,1.63590604,Raw,59.6,34,M
467.5,5.940279543,Raw,78.7,29,M
300,3.481086099,Wraps,86.18,39,F
180,1.585903084,Single-ply,113.5,31,M
480,6.159373797,Raw,77.93,25,M
158.76,2.112293773,Raw,75.16,59,M
257.5,2.646454265,Raw,97.3,28,M
462.5,5.110497238,Single-ply,90.5,26,M
212.5,2.020922492,Raw,105.15,24,M
421.84,5.698230447,Raw,74.03,48,M
625,5.801540889,Wraps,107.73,23,M
632.5,7.102751263,Wraps,89.05,23,M
771,8.711864407,Wraps,88.5,29,M
480,6.488240065,Raw,73.98,19,M
287.5,3.285714286,Raw,87.5,20,F
472.5,4.303278689,Raw,109.8,31,M
205,1.711185309,Raw,119.8,31,M
230,3.553221072,Wraps,64.73,35,F
565,5.355450237,Raw,105.5,36,M
382.5,5.1,Wraps,75,22,F
682.5,6.918398378,Wraps,98.65,48,M
347.5,3.575102881,Wraps,97.2,22,F
475,7.196969697,Wraps,66,23,M
642.5,7.052689352,Raw,91.1,32,M
65,1.194852941,Raw,54.4,40,F
601.01,6.0101,Wraps,100,36,M
102.5,1.965107362,Raw,52.16,14,M
540,6.561360875,Raw,82.3,23,M
807.5,8.154918198,Raw,99.02,22,M
515,6.875834446,Raw,74.9,27,M
505,4.465075155,Wraps,113.1,19,M
295,2.887909936,Raw,102.15,33,F
320,3.489640131,Raw,91.7,47,F
620,5.732778548,Wraps,108.15,20,M
307.5,5.176767677,Raw,59.4,21,F
320,4.0302267,Raw,79.4,18,M
690,8.414634146,Wraps,82,38,M
330,3.737259343,Raw,88.3,33,F
547.5,7.073643411,Raw,77.4,31,M
100,1.422475107,Raw,70.3,20,M
