TotalKg,SWR,Equipment,BodyweightKg,Age,Sex
470,6.034925526,Raw,77.88,21,M
707.5,7.099849473,Raw,99.65,22,M
637.5,6.413480885,Wraps,99.4,26,M
395,5.23872679,Raw,75.4,17,M
684.99,7.191496063,Wraps,95.25,20,M
305,3.11574216,Raw,97.89,28,M
705,6.682464455,Wraps,105.5,22,M
467.5,5.9252218,Wraps,78.9,22,M
160,1.977750309,Raw,80.9,45,M
610,6.237218814,Wraps,97.8,31,M
85,0.644427597,Raw,131.9,14,M
235,2.908415842,Raw,80.8,29,M
360,4.804484185,Raw,74.93,34,F
127.5,1.465517241,Raw,87,36,M
600,6.857142857,Wraps,87.5,32,M
330,5.739130435,Raw,57.5,23,F
615,6.26911315,Wraps,98.1,28,M
247.5,4.31184669,Raw,57.4,23,F
425,3.836432569,Raw,110.78,28,M
292.5,3.774193548,Raw,77.5,17,F
197.5,2.201783724,Raw,89.7,26,M
822.5,5.968795356,Raw,137.8,32,M
200,2.69541779,Raw,74.2,51,M
274.42,4.225096228,Raw,64.95,40,F
220,1.960784314,Raw,112.2,33,M
472.5,6.328690062,Raw,74.66,27,M
617.5,5.714946784,Wraps,108.05,27,M
665,4.773869347,Wraps,139.3,39,M
445,6.899224806,Raw,64.5,22,M
392.5,5.929003021,Wraps,66.2,24,F
625,6.731287022,Raw,92.85,34,M
275,5.04587156,Raw,54.5,32,F
555,6.529411765,Raw,85,31,M
252.5,4.222408027,Raw,59.8,45,F
180,1.812688822,Raw,99.3,50,M
352.5,4.326746041,Raw,81.47,20,M
115,2.03539823,Raw,56.5,41,F
622.5,7.081911263,Wraps,87.9,22,M
522.5,5.847789591,Wraps,89.35,23,M
232.5,1.363636364,Raw,170.5,34,M
182.5,1.391006098,Raw,131.2,40,M
540,6.398104265,Wraps,84.4,16,M
713,6.882239382,Wraps,103.6,23,M
512.5,6.265281174,Raw,81.8,24,M
670,8.385481852,Wraps,79.9,26,M
240.4,3.205333333,Raw,75,31,M
297.5,3.035714286,Wraps,98,49,F
345,4.662162162,Wraps,74,38,F
447.5,6.649331352,Raw,67.3,25,M
450,4.276347049,Wraps,105.23,41,M
545,7.416984213,Raw,73.48,23,M
90,1.355217588,Raw,66.41,13,F
610,6.136820926,Wraps,99.4,17,M
587.5,7.164634146,Raw,82,21,M
200,1.819836215,Raw,109.9,14,M
677.5,6.775,Raw,100,18,M
497.5,4.98996991,Raw,99.7,21,M
370,5.027173913,Raw,73.6,17,M
512.5,5.245649949,Raw,97.7,35,M
664.51,5.836714976,Wraps,113.85,27,M
202.5,3.006235154,Wraps,67.36,42,F
257.5,2.142262895,Raw,120.2,51,M
470,7.939189189,Wraps,59.2,23,F
380,4.62006079,Raw,82.25,33,F
547.5,6.264302059,Raw,87.4,29,M
95,1.163502756,Single-ply,81.65,15,F
87.5,1.355538342,Raw,64.55,38,F
300,3.333333333,Raw,90,41,F
327.5,5.569727891,Raw,58.8,21,M
252.5,2.967097532,Raw,85.1,38,M
512.5,4.754174397,Raw,107.8,31,M
357.5,4.485570891,Wraps,79.7,50,F
175,2.006880734,Raw,87.2,36,M
475,5.143475907,Wraps,92.35,44,M
155,1.969504447,Raw,78.7,15,M
345,3.21528425,Raw,107.3,32,M
292.5,4.131355932,Wraps,70.8,38,F
285,4.896907216,Raw,58.2,27,F
320,5.992509363,Raw,53.4,22,F
712.14,5.215996484,Wraps,136.53,55,M
172.5,2.555555556,Wraps,67.5,50,F
432.5,5.48857868,Raw,78.8,34,M
617.5,6.237373737,Raw,99,28,M
380,5.339328369,Raw,71.17,18,M
595,6.983568075,Wraps,85.2,35,M
240,3.100775194,Wraps,77.4,33,F
275,4.937163375,Raw,55.7,25,F
175,1.39586823,Raw,125.37,27,M
180,1.672862454,Raw,107.6,41,M
280,5.415860735,Wraps,51.7,51,F
287.5,3.993055556,Wraps,72,20,F
665,6.778797146,Raw,98.1,27,M
430,5.802968961,Raw,74.1,28,M
310,4.711246201,Raw,65.8,21,F
517.5,5.775669643,Raw,89.6,18,M
437.5,5.928184282,Wraps,73.8,19,M
352.5,2.665003402,Raw,132.27,33,M
235,2.374456906,Single-ply,98.97,44,M
385,5.859969559,Wraps,65.7,23,F
325,3.702859747,Raw,87.77,60,M
138.35,1.274058385,Raw,108.59,37,M
207.5,2.813559322,Single-ply,73.75,22,M
320,4.338983051,Raw,73.75,30,F
160,1.826484018,Raw,87.6,52,M
212.5,2.049180328,Raw,103.7,56,M
597.5,5.992978937,Raw,99.7,34,M
362.5,5.459337349,Wraps,66.4,20,M
675,6.20975161,Raw,108.7,31,M
625,7.084561324,Raw,88.22,24,M
372.5,4.818887451,Raw,77.3,33,F
207.5,3.772727273,Raw,55,36,F
730,8.138238573,Raw,89.7,22,M
200,3.007518797,Raw,66.5,34,F
737.5,7.687897425,Wraps,95.93,41,M
140,1.886792453,Raw,74.2,23,M
900,7.653061224,Wraps,117.6,27,M
557.5,6.97747184,Raw,79.9,25,M
158.76,1.767731878,Raw,89.81,30,M
277.5,4.635042592,Wraps,59.87,58,F
672.5,6.356332703,Raw,105.8,38,M
250,4.30292599,Raw,58.1,27,F
342.5,4.244114002,Raw,80.7,38,M
200,2.076843198,Raw,96.3,40,M
435,4.411764706,Raw,98.6,27,M
227.48,2.279587133,Single-ply,99.79,50,M
665,7.397107898,Wraps,89.9,26,M
385.55,2.004731697,Raw,192.32,47,M
587.5,6.737385321,Raw,87.2,25,M
455,6.148648649,Raw,74,24,M
52.5,1.029411765,Raw,51,18,M
267.5,4.15308182,Raw,64.41,31,F
382.5,6.244897959,Wraps,61.25,17,M
297.5,4.983249581,Wraps,59.7,27,F
592.5,5.435779817,Wraps,109,18,M
365,3.679435484,Wraps,99.2,48,F
200,2.994011976,Raw,66.8,39,F
220,2.898550725,Raw,75.9,41,M
282.5,4.804421769,Raw,58.8,48,F
292.5,4.405120482,Raw,66.4,27,F
492.5,4.670017068,Raw,105.46,33,M
401.43,4.0143,Raw,100,17,M
685,7.405405405,Raw,92.5,34,M
502.5,6.737731295,Raw,74.58,25,M
302.5,5.019913707,Raw,60.26,39,F
622.5,6.287878788,Raw,99,36,M
627.5,5.438079556,Raw,115.39,28,M
542.5,6.14591594,Raw,88.27,30,M
432.5,3.904486774,Single-ply,110.77,46,M
272.5,3.687415426,Raw,73.9,25,M
715,5.72,Wraps,125,26,M
290,4.374057315,Raw,66.3,18,F
592.5,8.006756757,Wraps,74,32,M
475,4.75,Raw,100,21,M
160,1.270849881,Raw,125.9,23,F
92.5,1.301350591,Raw,71.08,19,F
667.5,7.441471572,Raw,89.7,23,M
437.5,4.923475129,Raw,88.86,23,M
272.5,2.2299509,Raw,122.2,37,M
552.5,7.40616622,Raw,74.6,21,M
777.5,6.427213359,Raw,120.97,54,M
470,5.964467005,Raw,78.8,18,M
592.5,4.778225806,Raw,124,19,M
240,1.834862385,Raw,130.8,42,M
282.5,3.548994975,Raw,79.6,52,M
161.03,2.580608974,Raw,62.4,16,M
57.5,1.207983193,Raw,47.6,27,F
195,2.041884817,Raw,95.5,34,M
170,1.990632319,Raw,85.4,49,M
280,3.825136612,Wraps,73.2,36,F
600,5.226480836,Wraps,114.8,43,M
620,5.756731662,Raw,107.7,27,M
507.5,5.708661417,Raw,88.9,22,M
457.5,5.565693431,Raw,82.2,40,M
677.5,10.12705531,Wraps,66.9,26,M
547.5,4.74025974,Wraps,115.5,36,M
600,6.082108464,Wraps,98.65,52,M
200,1.677852349,Raw,119.2,65,M
245,2.716186253,Raw,90.2,35,F
112.5,1.794544584,Raw,62.69,51,F
490,6.056860321,Wraps,80.9,23,M
502.5,6.283606352,Raw,79.97,23,M
455,6.301939058,Raw,72.2,23,M
592.5,4.860541427,Raw,121.9,21,M
74.96,1.391756405,Single-ply,53.86,19,M
525,6.465517241,Wraps,81.2,27,M
105,1.755852843,Raw,59.8,16,F
355,4.733333333,Raw,75,26,F
257.5,3.937308869,Raw,65.4,17,F
322.5,4.309192945,Wraps,74.84,42,F
787.5,5.835927079,Raw,134.94,29,M
167.5,1.262245667,Raw,132.7,29,M
52.5,0.878220141,Raw,59.78,36,F
577.5,7.03410475,Raw,82.1,24,M
272.5,5.322265625,Raw,51.2,22,F
422.5,5.946516538,Wraps,71.05,32,M
165,1.184493898,Raw,139.3,21,M
610,7.411907655,Raw,82.3,23,M
812.5,6.862331081,Wraps,118.4,19,M
657.5,8.067484663,Raw,81.5,32,M
357.5,5.72,Wraps,62.5,34,F
495,4.796511628,Raw,103.2,28,M
682.5,7.606999554,Raw,89.72,32,M
575,6.40311804,Raw,89.8,23,M
590,6.066838046,Wraps,97.25,36,M
437.5,4.689174705,Raw,93.3,25,M
547.5,4.593120805,Raw,119.2,36,M
240,4,Raw,60,33,F
480,8.034817543,Raw,59.74,28,M
162.5,1.424189308,Raw,114.1,32,F
547.5,6.396028037,Raw,85.6,24,M
120,1.788375559,Raw,67.1,77,M
432.5,6.098420756,Raw,70.92,17,M
667.5,6.806362802,Wraps,98.07,20,M
177.5,1.499155405,Raw,118.4,36,M
880,7.376980468,Single-ply,119.29,38,M
378.75,5.005947661,Raw,75.66,43,F
292.5,4.834710744,Wraps,60.5,22,F
385,6.503378378,Raw,59.2,23,F
645,7.232563355,Raw,89.18,28,M
287.5,4.118911175,Raw,69.8,23,F
397.5,3.169856459,Raw,125.4,46,M
772.5,6.491596639,Wraps,119,26,M
247.5,2.270642202,Raw,109,23,M
412.5,3.709532374,Raw,111.2,30,F
572.5,4.739238411,Wraps,120.8,45,M
335,3.181386515,Raw,105.3,44,M
162.5,1.641414141,Raw,99,50,M
205,2.085452696,Raw,98.3,36,M
192.5,3.952772074,Wraps,48.7,25,F
205,3.713768116,Raw,55.2,53,F
195,3.482142857,Raw,56,13,F
160,1.847575058,Raw,86.6,19,M
847.5,8.526156942,Wraps,99.4,22,M
337.5,6.158759124,Raw,54.8,21,F
200,2.188183807,Raw,91.4,49,M
635,5.984919887,Raw,106.1,25,M
585,7.204433498,Raw,81.2,25,M
367.5,4.454545455,Raw,82.5,17,M
401.43,5.3524,Single-ply,75,15,M
450,6.797583082,Raw,66.2,18,M
325,2.976190476,Raw,109.2,27,F
250,4.807692308,Raw,52,26,F
52.5,1.141304348,Raw,46,15,F
407.5,4.120323559,Raw,98.9,16,M
685,6.996935649,Raw,97.9,26,M
265,4.822565969,Wraps,54.95,46,F
527.5,5.611702128,Raw,94,28,M
332.5,3.744369369,Raw,88.8,30,F
155,2.083333333,Raw,74.4,22,M
827.5,7.550182482,Wraps,109.6,28,M
805,4.902557856,Single-ply,164.2,24,M
235,3.579588728,Raw,65.65,17,F
622.5,6.395109924,Wraps,97.34,24,M
585,6.183932347,Single-ply,94.6,31,M
395,3.42584562,Raw,115.3,35,M
262.5,3.886585727,Raw,67.54,39,F
110,1.40593047,Raw,78.24,20,M
140,1.915184679,Raw,73.1,19,F
470,5.446118192,Raw,86.3,56,M
867.49,6.56294447,Single-ply,132.18,19,M
535,5.431472081,Raw,98.5,22,M
455,4.019434629,Raw,113.2,27,M
275,4.237941131,Raw,64.89,25,M
707.5,7.869855395,Raw,89.9,35,M
160,1.615345785,Raw,99.05,51,M
452.5,6.079537821,Raw,74.43,29,M
570,6.418918919,Wraps,88.8,20,M
477.41,5.795920845,Single-ply,82.37,47,M
242.5,4.23506811,Raw,57.26,27,F
887.5,6.521898883,Wraps,136.08,33,M
187.5,2.123442809,Raw,88.3,15,M
400,4.975124378,Wraps,80.4,25,F
662.5,6.134259259,Wraps,108,41,M
650,9.015256588,Wraps,72.1,20,M
532.5,5.378787879,Wraps,99,41,M
235,2.299412916,Raw,102.2,73,M
112.5,2.223320158,Raw,50.6,42,F
170,1.557775131,Raw,109.13,23,M
477.5,8.05227656,Raw,59.3,20,M
620,6.966292135,Raw,89,21,M
502.5,5.608258929,Raw,89.6,23,M
420,3.505843072,Raw,119.8,33,M
620,6.294416244,Wraps,98.5,28,M
207.5,2.002895753,Raw,103.6,39,M
92.5,1.530950017,Raw,60.42,29,F
250,3.799392097,Raw,65.8,16,F
510.29,5.927401557,Wraps,86.09,33,M
225,4.44225074,Raw,50.65,35,F
327.5,4.1613723,Raw,78.7,65,M
537.5,4.068887207,Wraps,132.1,62,M
132.5,1.700898588,Raw,77.9,16,F
185,2.828313713,Raw,65.41,23,F
572.5,7.152673663,Raw,80.04,39,M
575,6.78866588,Raw,84.7,35,M
535,5.504115226,Wraps,97.2,24,M
605,6.05,Raw,100,31,M
197.5,3.127969591,Raw,63.14,30,F
537.5,5.013992537,Raw,107.2,32,M
717.5,8.792892157,Wraps,81.6,25,M
552.5,6.7625459,Wraps,81.7,27,M
217.5,3.892269148,Raw,55.88,15,M
590,6.766055046,Wraps,87.2,23,M
240,3.901804585,Wraps,61.51,37,F
560,6.299212598,Raw,88.9,25,M
542.5,6.640146879,Single-ply,81.7,51,M
480,4.982354162,Raw,96.34,45,M
670,7.08994709,Wraps,94.5,34,M
330,2.64,Single-ply,125,32,M
582.5,4.264275256,Raw,136.6,32,M
396.89,4.810787879,Wraps,82.5,76,M
647.5,6.160799239,Raw,105.1,40,M
335,2.941176471,Raw,113.9,36,M
592.5,6.744450768,Raw,87.85,23,M
752.5,8.417225951,Raw,89.4,29,M
527.5,5.086788814,Raw,103.7,39,M
455,5.48854041,Raw,82.9,27,F
292.5,3.798701299,Raw,77,33,F
287.5,6.013386321,Raw,47.81,22,F
277.5,4.363207547,Single-ply,63.6,22,M
320,2.973977695,Raw,107.6,34,M
647.5,7.848484848,Wraps,82.5,22,M
470,6.322302932,Raw,74.34,19,M
435,3.072033898,Wraps,141.6,21,F
362.5,5.421776847,Wraps,66.86,29,F
595,5.310603356,Wraps,112.04,23,M
90,1.130511242,Raw,79.61,29,F
252.5,2.482792527,Single-ply,101.7,38,M
645,8.799454297,Wraps,73.3,24,M
768.84,7.782569086,Wraps,98.79,37,M
282.5,4.563812601,Raw,61.9,20,F
515,6.358024691,Raw,81,30,M
272.5,4.618644068,Wraps,59,36,F
562.5,6.384790011,Wraps,88.1,27,M
252.5,2.856334842,Raw,88.4,29,M
160,2.002503129,Raw,79.9,31,M
515,7.663690476,Wraps,67.2,19,F
303.91,3.023378432,Raw,100.52,23,M
140,1.884253028,Raw,74.3,43,M
147.5,1.814268143,Raw,81.3,34,M
490,6.041923551,Raw,81.1,26,M
594.21,8.803111111,Wraps,67.5,42,M
205,3.060615109,Raw,66.98,25,F
575,6.581959707,Raw,87.36,28,M
357.5,4.571611253,Wraps,78.2,25,F
200,3.65630713,Raw,54.7,25,F
205,1.663961039,Raw,123.2,35,M
660,7.366071429,Raw,89.6,38,M
590,5.524344569,Raw,106.8,19,M
530,7.647907648,Wraps,69.3,28,M
272.5,4.805996473,Raw,56.7,25,F
492.5,6.057810578,Raw,81.3,25,M
647.5,5.75044405,Raw,112.6,20,M
204.12,2.090536665,Raw,97.64,38,M
467.5,5.379127833,Raw,86.91,19,M
447.5,5.484068627,Raw,81.6,32,M
620,5.693296602,Raw,108.9,22,M
225,2.815315315,Raw,79.92,35,F
605,6.790123457,Raw,89.1,26,M
125,1.73370319,Single-ply,72.1,22,M
470,5.016008538,Raw,93.7,24,M
240,1.848998459,Raw,129.8,18,M
707.5,6.026405451,Raw,117.4,29,M
117.5,1.112689394,Raw,105.6,70,M
137.5,1.858108108,Raw,74,23,M
310,4.647676162,Raw,66.7,22,F
677.5,6.809045226,Raw,99.5,27,M
127.5,2.202072539,Raw,57.9,27,M
472.5,5.769230769,Raw,81.9,21,M
525,4.247572816,Raw,123.6,26,M
99.79,1.131149399,Raw,88.22,79,M
447.5,3.526398739,Wraps,126.9,17,M
245,4.129445474,Wraps,59.33,20,F
610,8.215488215,Raw,74.25,27,M
220,2.497162316,Raw,88.1,33,M
450,5.040887196,Raw,89.27,20,M
467.5,4.872329338,Raw,95.95,21,M
502.5,5.546357616,Raw,90.6,27,M
415,5.708390646,Raw,72.7,14,M
443.5,6.953590467,Single-ply,63.78,26,F
425,5.4098778,Raw,78.56,28,M
257.5,3.222778473,Raw,79.9,24,F
727.5,7.289579158,Raw,99.8,25,M
177.5,2.62962963,Raw,67.5,17,M
462.5,5.724009901,Wraps,80.8,26,M
55,1.294117647,Raw,42.5,13,F
140,1.467505241,Raw,95.4,20,M
175,1.602123959,Raw,109.23,41,M
195,2.250692521,Raw,86.64,62,F
210,2.916666667,Raw,72,20,M
262.5,5.167322835,Raw,50.8,23,F
342.46,2.462500899,Single-ply,139.07,38,M
537.5,7.996132104,Single-ply,67.22,23,M
453.59,6.868413083,Wraps,66.04,32,F
335,4.472630174,Raw,74.9,31,F
590,7.177615572,Raw,82.2,27,M
587.4,5.995101041,Wraps,97.98,23,M
302.5,4.132513661,Raw,73.2,18,F
165,1.550606146,Raw,106.41,47,M
160,2.272727273,Raw,70.4,15,M
162.5,2.009149357,Raw,80.88,28,M
555,5.733471074,Raw,96.8,30,M
255,2.380952381,Raw,107.1,28,M
410,4.38034188,Raw,93.6,13,M
480,6.530612245,Raw,73.5,20,M
405,6.145675266,Raw,65.9,26,M
480,5.850091408,Raw,82.05,31,M
495,6.103575832,Raw,81.1,21,M
210,4.4397463,Raw,47.3,24,F
475,6.337558372,Raw,74.95,25,M
465,6.361149111,Raw,73.1,29,M
602.5,5.573543016,Raw,108.1,22,M
200,1.660164356,Raw,120.47,44,M
230,4.121863799,Raw,55.8,32,F
590,7.866666667,Single-ply,75,19,M
542.5,5.297851563,Raw,102.4,20,M
710,8.040770102,Wraps,88.3,27,M
142.5,1.032608696,Raw,138,32,F
520,5.882352941,Wraps,88.4,28,M
357.5,4.792225201,Raw,74.6,39,F
580,7.191568506,Raw,80.65,20,M
147.5,1.84144819,Raw,80.1,35,M
425,4.93612079,Wraps,86.1,65,M
562.5,6.256952169,Raw,89.9,25,M
62.5,1.064735945,Raw,58.7,31,F
317.5,4.299837486,Raw,73.84,24,F
262.5,2.724442138,Single-ply,96.35,47,M
255,2.152261985,Single-ply,118.48,33,M
635,6.50281618,Wraps,97.65,34,M
465,6.266846361,Raw,74.2,26,M
322.5,4.45441989,Raw,72.4,27,F
155,1.767388826,Raw,87.7,35,M
492.5,5.515117581,Raw,89.3,25,M
446.79,4.4679,Raw,100,17,M
180,1.580333626,Raw,113.9,50,M
550,6.666666667,Wraps,82.5,24,M
190,1.310344828,Raw,145,36,M
265,4.818181818,Raw,55,40,F
307.5,4.186521443,Raw,73.45,28,F
110,2.012440542,Wraps,54.66,26,F
445,5.500618047,Raw,80.9,32,M
575,5.813953488,Raw,98.9,35,M
275,4.236635341,Wraps,64.91,19,F
210,2.8,Single-ply,75,24,M
685,6.898288016,Raw,99.3,26,M
512.5,4.058441558,Wraps,126.28,22,M
235,5.042918455,Raw,46.6,27,F
539.77,6.127483256,Wraps,88.09,21,M
340,5.182926829,Wraps,65.6,25,F
297.5,5.016863406,Raw,59.3,27,F
232.5,3.974358974,Raw,58.5,20,F
235,3.593272171,Raw,65.4,44,F
567.5,5.871094558,Raw,96.66,35,M
337.5,4.638537658,Raw,72.76,29,F
70,1.118210863,Raw,62.6,33,F
597.5,7.46875,Raw,80,19,M
405,5.407209613,Raw,74.9,34,F
640,5.633802817,Wraps,113.6,24,M
564.99,8.735157699,Single-ply,64.68,21,M
52.16,0.696953501,Raw,74.84,68,M
400,5.095541401,Wraps,78.5,34,F
460,8.02092415,Raw,57.35,22,M
442.5,4.93696307,Raw,89.63,29,M
295,5.270680722,Raw,55.97,21,F
665,6.782253952,Wraps,98.05,29,M
275,4.595588235,Raw,59.84,15,M
493.5,4.189303905,Wraps,117.8,66,M
497.5,6.25,Raw,79.6,29,M
150,1.818181818,Single-ply,82.5,41,M
177.5,1.646567718,Raw,107.8,49,M
125,1.050420168,Raw,119,75,M
217.5,2.668711656,Raw,81.5,29,M
317.5,3.954415245,Wraps,80.29,37,F
213.19,3.815139585,Wraps,55.88,50,F
212.5,3.986866792,Raw,53.3,31,F
208.65,3.739917548,Wraps,55.79,22,F
237.5,1.979166667,Raw,120,37,M
707.5,7.896205357,Raw,89.6,23,M
112.5,1.939655172,Raw,58,50,F
595,5.962521295,Wraps,99.79,25,M
630,9,Wraps,70,32,M
180,1.651376147,Raw,109,22,M
250,4.215851602,Raw,59.3,38,F
477.5,5.389390519,Raw,88.6,22,M
242.5,4.667949952,Raw,51.95,40,F
635.03,7.055888889,Wraps,90,22,M
312.5,4.217273954,Raw,74.1,30,F
557.5,6.349658314,Raw,87.8,29,M
480,5.43601359,Raw,88.3,23,M
832.5,5.126231527,Wraps,162.4,29,M
200,2.436053593,Raw,82.1,29,M
442.5,6.111878453,Wraps,72.4,41,F
597.5,4.412850812,Raw,135.4,22,M
250,3.516174402,Raw,71.1,17,F
262.5,3.571428571,Raw,73.5,27,F
230,3.181189488,Raw,72.3,23,F
372.5,4.979946524,Raw,74.8,32,F
407.5,6.62601626,Raw,61.5,16,M
712.5,5.816326531,Wraps,122.5,27,M
667.5,5.516528926,Wraps,121,23,M
335,3.87283237,Raw,86.5,43,F
275,4.67766627,Raw,58.79,26,F
482.5,5.884146341,Raw,82,23,M
720,5.985037406,Wraps,120.3,48,M
307.5,4.812206573,Raw,63.9,25,F
627.5,5.147662018,Raw,121.9,29,M
480,5.429864253,Raw,88.4,24,F
200,1.879699248,Raw,106.4,44,M
457.5,4.224376731,Raw,108.3,28,M
430,5.386446198,Raw,79.83,23,M
215,2.505827506,Single-ply,85.8,60,M
307.5,4.121983914,Raw,74.6,39,F
117.5,1.965540314,Raw,59.78,29,F
562.5,6.961633663,Raw,80.8,25,M
435,4.479917611,Raw,97.1,23,M
600,5.83090379,Raw,102.9,48,M
540,6.19266055,Wraps,87.2,37,M
550,5.238095238,Raw,105,31,M
450,5.027932961,Raw,89.5,29,M
185,2.56232687,Raw,72.2,21,M
307.5,3.768382353,Raw,81.6,23,F
185,2.304147465,Single-ply,80.29,25,M
677.5,6.159090909,Single-ply,110,27,M
550,5.608239013,Wraps,98.07,24,M
237.5,3.73427673,Wraps,63.6,46,F
105,1.761744966,Raw,59.6,17,M
660,8.61618799,Wraps,76.6,29,M
566.99,6.975762795,Wraps,81.28,20,M
272.5,3.707482993,Raw,73.5,37,F
665,6.487804878,Raw,102.5,21,M
272.16,2.479365947,Raw,109.77,38,M
77.5,1.17781155,Raw,65.8,37,F
590,6.310160428,Wraps,93.5,25,M
507.5,5.963572268,Raw,85.1,20,M
545,6.278801843,Raw,86.8,23,M
205,3.151421983,Raw,65.05,36,F
187.5,2.419354839,Raw,77.5,41,F
170,1.734693878,Raw,98,53,M
252.5,3.014925373,Raw,83.75,40,M
887.5,8.99189463,Single-ply,98.7,38,M
352.5,4.415633221,Wraps,79.83,36,F
652.5,6.50872818,Wraps,100.25,24,M
150,1.309357542,Raw,114.56,21,M
347.5,6.261261261,Wraps,55.5,39,F
525,6.782945736,Raw,77.4,25,M
442.5,6.223628692,Wraps,71.1,27,M
330,5.108359133,Raw,64.6,26,F
460,5.368814192,Raw,85.68,17,M
382.5,3.879310345,Raw,98.6,16,M
482.5,3.686019862,Raw,130.9,18,M
202.5,3.52173913,Raw,57.5,48,F
92.5,1.136363636,Raw,81.4,71,M
192.5,2.851851852,Raw,67.5,50,F
272.5,4.456983971,Raw,61.14,53,F
272.5,3.732876712,Raw,73,19,F
332.5,1.905444126,Single-ply,174.5,38,M
695,7.128205128,Raw,97.5,33,M
170,3.035714286,Raw,56,33,F
582.5,8.733133433,Raw,66.7,35,M
385,3.857715431,Single-ply,99.8,23,M
570,5.3420806,Wraps,106.7,26,M
940.5,7.341920375,Raw,128.1,23,M
580,5.8,Raw,100,17,M
254.01,3.414571851,Raw,74.39,27,M
437.5,7.998171846,Wraps,54.7,26,M
655,7.302118172,Raw,89.7,30,M
125,2.12585034,Raw,58.8,35,M
262.5,4.296235679,Raw,61.1,23,F
154.22,2.297333532,Raw,67.13,11,F
495,6.051344743,Wraps,81.8,17,M
80,1.206636501,Raw,66.3,35,F
857.5,7.816773017,Wraps,109.7,30,M
115,0.923694779,Raw,124.5,37,M
305,3.167185877,Raw,96.3,22,F
345,5.291411043,Raw,65.2,30,F
200,2.320185615,Raw,86.2,28,M
420,4.242424242,Raw,99,29,M
645,4.927425516,Raw,130.9,27,M
230,1.653843388,Single-ply,139.07,43,M
202.5,2.524937656,Raw,80.2,15,M
605,7.638888889,Raw,79.2,26,M
262.5,4.261363636,Raw,61.6,23,F
275,2.34082397,Raw,117.48,31,M
542.04,6.022666667,Raw,90,24,M
102.5,1.526888128,Single-ply,67.13,21,M
625,8.445945946,Raw,74,25,M
365,2.788388083,Raw,130.9,27,M
582.5,7.112332112,Raw,81.9,19,M
690,7.182262933,Single-ply,96.07,40,M
497.5,5.292553191,Raw,94,22,M
182.5,3.049289891,Raw,59.85,51,F
430,5.939226519,Raw,72.4,30,F
60,1.183431953,Raw,50.7,20,F
382.5,5.777945619,Raw,66.2,26,F
660,5.383360522,Wraps,122.6,26,M
675,6.037567084,Raw,111.8,24,M
272.16,2.700267884,Raw,100.79,19,M
310,2.327327327,Single-ply,133.2,43,M
557.5,4.573420837,Raw,121.9,23,M
383.29,3.974800373,Wraps,96.43,43,M
585.13,5.420379805,Wraps,107.95,42,M
420,7.279029463,Single-ply,57.7,17,M
817.5,9.321550741,Wraps,87.7,27,M
160,1.091405184,Raw,146.6,41,F
655,8.03976924,Wraps,81.47,26,M
381.02,3.8102,Single-ply,100,15,M
367.5,3.852201258,Raw,95.4,16,M
212.5,2.539132513,Single-ply,83.69,38,M
425,5.221130221,Raw,81.4,17,M
485,7.271364318,Raw,66.7,31,M
152.5,2.045058334,Single-ply,74.57,26,M
460,5.859872611,Raw,78.5,24,M
522.5,6.547619048,Raw,79.8,28,M
272.5,4.572147651,Wraps,59.6,19,F
445,5.474901575,Wraps,81.28,25,M
315,2.316176471,Single-ply,136,25,M
205,1.642628205,Raw,124.8,30,M
335,6.203703704,Raw,54,39,F
300,5.385996409,Raw,55.7,27,F
530.7,7.231230413,Wraps,73.39,25,M
560.19,6.310577898,Raw,88.77,22,M
237.5,2.932098765,Raw,81,23,M
340,4.557640751,Raw,74.6,34,M
257.5,4.333557725,Raw,59.42,29,F
381.02,5.849247774,Wraps,65.14,48,F
