PN,PS,DN,DS
15,13,1,3
1,4,1,2
2,2,1,0
10,8,0,1
4,2,1,0
7,5,0,0
0,3,1,4
2,1,0,2
9,3,2,1
8,2,2,0
9,7,0,2
53,32,7,7
28,14,3,8
10,6,0,3
15,11,2,3
12,2,1,2
14,9,4,8
13,14,6,1
7,6,0,4
13,6,1,0
11,6,3,1
5,4,0,0
22,14,5,2
19,10,1,3
17,6,2,3
24,7,0,3
12,8,2,2
10,3,1,1
43,24,8,6
6,10,1,4
1,0,0,0
15,15,2,3
4,9,2,4
7,5,3,3
6,1,4,1
17,11,4,4
3,5,1,0
3,1,0,0
3,3,0,1
4,1,0,0
14,12,3,3
7,3,1,0
5,6,0,0
6,5,3,0
6,5,3,5
3,4,0,1
5,4,0,2
9,9,1,4
5,4,0,1
10,8,2,1
2,4,0,0
2,3,0,0
49,37,5,8
1,1,0,2
35,22,2,5
7,6,0,4
39,18,5,8
27,17,1,3
14,11,1,3
38,20,5,3
18,15,2,3
11,3,4,2
4,2,2,1
12,8,3,3
4,13,1,1
9,3,2,2
11,6,0,1
7,15,1,6
12,11,0,0
12,7,1,0
24,11,1,3
24,16,5,4
2,2,0,0
11,10,2,1
15,6,1,3
61,23,5,8
23,12,6,2
7,9,0,1
2,6,0,3
42,14,8,6
4,7,0,1
4,7,2,1
9,5,0,2
29,40,0,13
17,11,5,1
6,3,0,0
7,4,2,2
28,8,6,3
19,11,8,4
8,2,0,1
3,3,0,1
3,7,1,0
2,14,0,5
15,5,3,1
32,31,5,5
30,19,6,1
2,3,0,1
10,3,4,2
17,6,3,4
1,2,0,0
12,8,1,0
7,8,1,1
9,10,1,2
4,1,0,1
1,2,0,0
7,12,2,2
29,15,5,4
0,3,0,0
6,7,2,1
16,8,2,2
4,6,0,2
121,63,18,19
13,5,7,7
25,26,3,12
1,0,0,0
8,5,1,0
3,2,2,0
1,4,1,4
8,8,0,3
6,3,1,4
4,1,0,1
2,2,1,1
4,0,0,0
5,4,0,1
5,4,0,4
3,3,1,2
5,4,0,0
2,1,0,1
3,4,0,0
0,3,0,2
10,12,0,2
30,16,9,9
0,0,5,3
24,10,11,7
10,7,5,1
14,10,0,0
15,9,1,0
65,27,7,3
7,5,0,1
22,10,11,4
5,2,0,0
4,4,0,1
5,5,0,0
2,1,0,1
23,10,6,6
7,4,0,0
4,14,3,1
34,15,4,4
12,6,2,2
14,13,0,1
5,6,0,2
19,7,2,3
21,38,1,3
41,43,7,8
0,5,0,1
85,41,32,18
22,11,0,3
4,3,1,3
25,7,2,2
2,1,0,2
4,1,0,0
2,4,0,1
32,35,0,7
5,6,0,0
3,3,1,2
10,6,2,3
2,2,0,0
19,14,4,3
7,10,0,0
11,13,0,8
0,1,0,0
15,11,4,1
18,22,7,3
4,2,0,0
29,5,2,5
7,11,0,0
13,17,4,9
2,4,1,0
3,6,1,0
1,6,0,3
2,6,0,1
2,4,0,1
4,3,0,0
23,9,2,1
4,3,0,1
6,6,0,1
13,11,1,1
15,6,2,1
15,9,3,4
2,6,0,1
8,10,0,0
10,14,0,2
13,10,0,1
16,24,1,5
13,8,0,2
16,12,1,1
13,11,1,1
0,1,0,1
10,9,1,1
7,4,0,0
4,7,0,3
4,0,0,0
2,4,1,0
22,17,0,2
15,5,6,0
28,37,4,4
5,5,1,3
14,15,0,4
25,31,2,7
21,12,0,4
8,6,0,4
3,4,0,0
17,10,1,0
6,20,1,6
13,15,1,3
7,14,0,3
6,2,1,3
8,5,1,1
11,12,0,3
5,6,2,0
14,12,2,2
0,4,0,2
1,1,0,0
5,8,0,1
19,7,2,4
26,17,1,3
3,4,0,0
4,2,2,2
3,4,0,0
7,1,2,0
11,6,2,3
13,16,10,3
18,8,5,5
28,7,4,2
4,3,0,1
3,6,0,0
6,3,2,3
12,7,9,4
6,5,4,2
32,12,2,4
44,21,14,14
18,6,14,6
9,5,2,2
10,4,4,3
37,29,1,10
9,5,0,2
42,26,8,6
3,1,0,1
1,2,1,0
9,10,2,2
2,2,1,2
5,7,0,1
18,10,0,3
5,4,4,2
5,4,2,0
8,11,0,3
11,12,0,3
3,4,0,1
11,6,6,2
10,4,1,1
3,6,1,2
10,8,0,0
2,3,0,0
8,3,0,5
16,13,2,3
3,6,0,1
8,9,3,3
4,6,0,0
3,2,0,1
25,9,11,4
2,3,0,1
8,7,1,1
7,2,0,1
7,4,1,2
3,4,0,4
6,5,0,1
21,7,1,1
5,5,0,0
6,2,0,1
24,25,1,7
83,37,12,10
4,4,1,0
4,6,0,1
141,78,27,18
2,6,0,4
9,8,1,1
8,9,1,0
12,1,1,1
5,2,0,0
4,2,0,0
5,2,5,1
22,11,3,4
7,3,0,1
17,9,2,6
24,10,2,3
8,2,2,1
4,0,0,0
9,12,1,2
14,9,0,1
15,4,0,3
5,5,1,1
18,11,4,2
6,3,1,0
44,20,9,4
2,1,0,0
5,4,1,3
3,3,3,1
31,17,11,12
27,13,4,5
5,5,2,3
27,12,6,1
33,12,5,1
19,13,0,4
17,15,5,5
1,3,0,2
3,3,1,1
11,4,1,1
1,2,1,0
6,6,0,0
1,1,0,0
109,36,27,5
11,9,0,0
8,7,1,1
2,0,0,0
12,14,0,0
22,13,0,7
4,6,0,1
15,4,1,1
1,5,1,2
8,7,1,1
1,0,1,0
6,5,0,1
3,4,1,1
5,6,0,0
14,15,1,4
2,1,0,0
21,13,7,4
6,14,0,4
19,20,8,8
14,12,0,4
14,4,1,2
17,6,1,1
16,5,0,2
20,9,3,2
8,12,0,2
2,4,1,3
1,3,0,1
5,2,0,1
3,1,2,0
5,6,0,2
0,2,0,2
0,0,3,0
6,3,1,6
2,0,2,2
331,218,45,41
3,11,0,4
14,15,2,6
1,2,0,1
1,2,0,2
2,3,0,1
1,3,4,2
2,2,0,0
1,1,1,0
1,3,2,1
1,3,0,1
23,9,2,4
14,6,2,2
6,14,1,1
35,27,12,8
10,11,0,1
5,12,1,1
19,8,2,2
16,8,2,10
25,10,0,2
6,4,0,0
5,11,0,0
6,1,0,2
5,2,1,0
8,23,1,4
8,3,3,0
10,6,2,2
6,7,0,4
10,4,0,2
5,6,2,1
0,2,0,0
17,11,8,6
28,33,3,6
31,16,11,1
6,1,1,1
55,31,8,7
21,11,3,0
7,2,0,4
7,8,1,1
2,1,1,2
35,27,7,14
8,12,1,0
0,1,0,0
9,6,6,2
18,14,3,2
0,2,0,1
16,7,0,3
7,6,2,1
0,2,0,1
66,42,12,13
32,32,5,8
7,5,0,0
8,3,1,0
3,5,1,1
13,7,1,2
48,40,4,7
10,17,1,5
18,16,3,6
49,60,1,30
19,7,2,7
8,9,1,2
45,33,5,17
3,5,1,2
1,9,1,0
9,7,3,0
15,6,1,3
9,5,1,1
36,12,2,7
25,9,2,1
3,2,1,1
7,6,1,4
24,10,0,3
21,11,4,5
1,8,0,2
6,8,1,2
6,2,0,3
3,4,0,0
25,11,5,0
1,2,0,0
2,1,1,0
4,9,0,0
9,5,3,3
49,64,30,17
6,7,0,2
