ClassYear,Gender,Political,Haircut,Textbooks,CellType,CellLife,Computer,RandomNumber,HoursSlept,HoursExercise,IceCream,WorkStudy,HarryPotter,CupsCoffee,Siblings,SocialMediaAccounts,Pulse,TextMessages,BearsBees,Athletics
Senior,Female,2,0,-999,not.smartphone,7,Mac,4,10,12,Chocolate,0,4,1,2,1,60,20,Bees,Varsity
Sophomore,Female,2,25,150,iPhone,14,Mac,1,9,6,Chocolate,12,1,0,0,2,70,40,Bear,Varsity
Junior,Female,3,26,50,Android,28,Mac,3,7.5,3,Vanilla,10,8,0,1,4,56,10,Bees,Club
Junior,Female,2,60,200,iPhone,1,Mac,9,8,3.5,Chocolate,0,8,0,1,2,60,15,Bees,Varsity
Senior,Female,6,19,-999,iPhone,1,Mac,7,5,0,Chocolate,0,8,2,2,3,60,3,Bear,No participation
Junior,Male,2,14,100,iPhone,13,PC,7,9,2,Vanilla,11,7,0,1,1,70,10,Bear,Pickup
First year,Male,4,15,-999,iPhone,19,Mac,9,8.5,13,Vanilla,0,8,0,2,2,62,100,Bear,Varsity
First year,Female,7,40,90,iPhone,18,PC,7,7,2,Chocolate,12,1,,,2,,3,Bear,Pickup
First year,Male,4,35,-999,iPhone,50,Mac,4,9.5,1,Vanilla,8,,0,1,3,60,75,Bear,Varsity
Junior,Female,3,60,300,iPhone,24,PC,4,8,5,Chocolate,10,8,2,3,1,62,40,Bear,Club
Junior,Male,4,25,0,iPhone,0,Mac,9,7.5,16,Vanilla,8,3,3,0,3,90,10,Bear,Varsity
Sophomore,Female,4,20,0,iPhone,15,Mac,5,8,1,Vanilla,10,2,0,0,3,,5,Bear,Pickup
First year,Male,3,2.5,450,no.phone,0,Mac,7,7,5,Vanilla,11,8,0,1,1,64,0,Bear,Intramural
First year,Male,3,2.5,450,no.phone,0,Mac,7,7,5,Vanilla,11,8,0,1,1,64,0,Bear,Intramural
First year,Female,2,30,-999,iPhone,18,PC,7,9,0,Vanilla,6,1,0,2,2,63,50,Bear,Varsity
First year,Female,5,55,-999,iPhone,6,PC,10,6,4,Chocolate,10,2,1,1,2,,20,Bear,Club
First year,Female,5,55,-999,iPhone,6,PC,10,6,4,Chocolate,10,2,1,1,2,,20,Bear,Club
Junior,Female,3,0,50,iPhone,12,Mac,9,9,1,Chocolate,10,6,0,2,2,72,100,Bear,Club
Junior,Male,1,12,75,Android,3,Mac,6,8.5,16,Vanilla,9,8,2,1,3,61,30,Bees,Varsity
Senior,Female,2,14,200,Android,15,Mac,5,7.5,1.5,Vanilla,9,8,0,1,2,80,15,Bees,No participation
First year,Male,5,13,-999,iPhone,10,Mac,7,8.5,22,Chocolate,9,8,0,2,1,64,10,Bear,Varsity
Junior,Male,3,20,150,iPhone,9,PC,9,9,0,Chocolate,0,5,0,1,1,60,5,Bear,Club
Junior,Male,3,20,150,iPhone,9,PC,9,9,0,Chocolate,0,5,0,1,1,60,5,Bear,Club
Senior,Male,4,17,250,Android,11,PC,5,7.5,13.5,Vanilla,12,8,1,1,2,88,5,Bear,Varsity
Sophomore,Female,5,16,35,Android,8,Mac,7,7.5,2,Vanilla,12,,0,3,2,80,20,Bear,Varsity
First year,Male,6,17,157,iPhone,8,Mac,4,8,8,Vanilla,0,8,0,2,5,66,120,Bees,Varsity
Sophomore,Female,2,35,250,iPhone,12,Other,2,7,9,Chocolate,0,8,0,4,1,68,100,Bees,Club
Junior,Female,2,25,25,iPhone,1,PC,4,7,4.5,Chocolate,9,8,1,0,1,40,40,Bear,No participation
Sophomore,Male,2,0,200,iPhone,9,Mac,10,7.5,25,Chocolate,15,4,0,2,2,52,50,Bees,Varsity
Sophomore,Female,4,6,200,Android,12,PC,4,7,0,Vanilla,10,8,0,1,1,48,10,Bees,No participation
Senior,Male,1,0,-999,not.smartphone,60,Mac,7,6.8,1,Chocolate,0,7,0,2,1,60,4,Bees,No participation
Sophomore,Male,4,3.5,140,Android,1,PC,8,8,5,Vanilla,0,2,0,0,4,,3,Bear,Intramural
Sophomore,Female,2,33.39,300,iPhone,20,Mac,6,8,1,Vanilla,10,8,1,2,2,65,15,Bear,Club
Sophomore,Male,4,0,50,iPhone,4,PC,7,7,5,Chocolate,0,8,0,4,2,75,2,Bear,Club
First year,Female,2,60,-999,iPhone,20,Mac,7,8,2,Chocolate,6,8,2,1,1,70,50,Bees,Club
Senior,Male,7,12,-999,not.smartphone,48,PC,7,8,0,Vanilla,11,4,1,1,1,65,20,Bear,No participation
Sophomore,Female,6,15,138,iPhone,10,Mac,7,8.5,6,Chocolate,10,8,1,2,6,57,50,Bear,Club
First year,Female,4,35,20,iPhone,1,PC,7,6,2,Chocolate,10,6,1,0,3,64,7,Bear,Club
Sophomore,Female,4,0,300,iPhone,11,Mac,8,7,0,Vanilla,12,8,0,1,5,60,3,Bees,No participation
Sophomore,Female,2,20,-999,Android,9,PC,6,7.5,1,Vanilla,20,8,0,1,3,92,10,Bear,No participation
Junior,Female,5,0,400,Android,2,PC,3,7,2,Vanilla,11,2,0,4,2,62,1,Bear,No participation
Sophomore,Female,2,5,200,Android,5,PC,7,8,0,Vanilla,10,8,0,0,4,,40,Bear,No participation
Sophomore,Female,2,14,100,iPhone,14,Mac,7,8,3,Vanilla,9,8,0,1,5,67,20,Bear,No participation
First year,Female,2,45,-999,Android,3,PC,4,7,0,Vanilla,0,8,0,1,2,68,100,Bear,No participation
Junior,Male,1,11,150,iPhone,14,Mac,6,8,3,Chocolate,11,8,2,1,5,75,15,Bear,No participation
Sophomore,Male,2,20,120,iPhone,14,Mac,7,8.5,14,Chocolate,4,8,0,1,1,92,40,Bear,Varsity
Sophomore,Male,3,10,100,iPhone,35,PC,8,7,0,Chocolate,10,8,0,1,1,87,2,Bear,Pickup
First year,Female,1,0,-999,iPhone,4,Mac,9,9,3,Chocolate,0,8,1,1,3,,30,Bear,No participation
First year,Female,4,20,0,iPhone,10,Mac,4,6,0,Chocolate,0,3,0,0,4,100,160,Bear,Pickup
Senior,Female,6,40,60,not.smartphone,60,Mac,3,7,5,Chocolate,10,8,2,0,2,75,5,Bees,No participation
Junior,Female,2,0,200,iPhone,1,Mac,9,7,1,Vanilla,10,8,0,1,1,110,30,Bees,Club
Junior,Female,2,65,100,iPhone,2,Mac,4,9,5,Chocolate,0,8,2,1,3,76,5,Bear,Club
First year,Male,3,20,-999,not.smartphone,36,PC,1,9,2,Chocolate,9,2,0,2,2,56,5,Bear,Intramural
Junior,Female,2,0,300,Android,9,Mac,7,6,1,Chocolate,10,8,1,1,1,87,50,Bear,Intramural
First year,Male,3,8,-999,iPhone,0,Mac,9,6,12,Chocolate,9,8,1,1,2,95,15,Bear,Club
Senior,Male,5,20,200,Android,9,PC,4,9,0,Chocolate,30,8,0,1,2,65,5,Bees,Club
