name,id,survival,type,price,releaseToDate,avgRate_current,rateCount_current,avgRate_all,rateCount_all,category,catPop,size,language,langNum,ageRate,system,systemCat,device,left_trunc,censored
FIFA 15 Ultimate Team by EA SPORTS Electronic Arts 870794720,870794720,40,free,0,356,4.5,1646,4.5,96615,Games,Games,1221.593218," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Turkish",12,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
LEGO¥ Batman: Beyond Gotham Warner Bros. 981305941,981305941,310,paid,4.99,80,4,36,4,366,Games,Games,1167.299819, English,1,09+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
Asphalt 8: Airborne Gameloft 610391947,610391947,22,free,0,752,4.5,9990,4.5,137399,Games,Games,1159.27194," English, Arabic, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",15,12+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
LEGO¥ Marvel Super Heroes: Universe in Peril Warner Bros. 737006024,737006024,17,paid,4.99,451,4,448,4,1361,Games,Games,1132.405009, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
The LEGO¥ Movie Video Game Warner Bros. 901999406,901999406,149,paid,4.99,234,4,174,4,290,Games,Games,1107.380264, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
WWE Immortals Warner Bros. 941421328,941421328,150,free,0,242,4.5,278,4.5,21760,Games,Games,1105.426188," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",12,12+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Godfire: Rise of Prometheus Vivid Games S.A. 669376184,669376184,8,paid,2.99,451,4,334,4,627,Games,Games,1082.733509," English, Japanese, Korean, Simplified Chinese, Traditional Chinese",5,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Haunted Legends: The Stone Guest - A Hidden Objects Detective Game (Full) Big Fish Games, Inc 1003892259",1003892259,1,paid,2.99,39,4.5,11,4.5,11,Games,Games,1023.706973," English, French, German, Japanese, Russian",5,09+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad Wi-Fi (3rd generation, iPad Wi-Fi + Cellular (3rd generation, iPad Wi-Fi (4th generation, iPad Wi-Fi + Cellular (4th generation, iPad mini Wi-Fi, iPad mini Wi-Fi + Cellular, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro, iPad Pro Wi-Fi + Cellular, iPod touch (5th generation, and iPod touch (6th generation.",1,1
Deemo Rayark Inc. 700637744,700637744,267,paid,1.99,669,5,1923,5,12093,Games,Games,987.2343035, English,1,04+,iOS 5,old,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad 2 Wi-Fi, iPad 2 Wi-Fi + 3G, iPad Wi-Fi (3rd generation, iPad Wi-Fi + Cellular (3rd generation, iPad Wi-Fi (4th generation, iPad Wi-Fi + Cellular (4th generation, iPad mini Wi-Fi, iPad mini Wi-Fi + Cellular, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro, iPad Pro Wi-Fi + Cellular, iPod touch (4th generation, iPod touch (5th generation, and iPod touch (6th generation.",1,1
"Call of Duty¥: Strike Team Activision Publishing, Inc. 655619282",655619282,113,paid,6.99,738,4.5,1435,4,7963,Games,Games,974.992527," English, French, German, Italian, Spanish",5,17+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
