SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear
5360,26,1,39,1,11,1,4,1,0,6,1,0
2844,12,0,62,1,4,1,1,0,0,7,1,227
6493,1,0,37,1,12,1,3,0,0,8,1,1250
6493,1,0,36,1,12,1,4,1,0,7,1,824
1697,39,0,30,0,11,0,6,1,1,8,1,1078
1697,49,1,29,0,11,0,6,1,1,9.5,1,641
2665,62,1,23,0,9,1,6,1,1,10,0,0
2050,2,0,35,0,12,0,3,1,1,6,0,1534
6630,3,0,62,1,12,1,1,1,0,9,0,441
6630,2,0,61,1,12,1,1,1,0,7,0,438
6626,3,0,23,1,12,1,1,1,0,11,0,444
6626,1,0,35,1,12,1,1,1,1,7,0,499
2529,10,0,30,0,12,0,4,1,1,9,1,1077
2529,5,0,29,0,12,0,4,1,1,7,1,824
6827,3,0,29,0,12,0,4,1,1,9,1,1121
6827,4,0,28,0,12,0,4,1,1,7,1,918
444,10,0,32,0,15,0,4,0,1,7,1,530
444,8,0,31,0,15,0,4,0,1,7,1,365
2661,14,0,26,0,9,0,4,1,1,7,1,750
6051,24,0,28,0,11,1,1,1,0,7,0,536
2527,15,1,50,0,12,0,3,0,1,5,1,1193
1657,1,0,38,0,10,0,4,1,1,3,1,1294
1657,1,0,37,0,10,0,4,1,1,5,1,1024
1295,2,0,52,0,12,0,3,1,1,7,1,472
2516,1,0,43,0,12,0,3,0,1,8,1,524
597,12,0,40,0,7,0,1,1,0,4,1,581
597,1,0,39,0,7,0,1,1,0,7,1,425
5713,3,0,54,0,9,0,1,0,0,7,0,412
5610,12,0,34,1,11,1,4,1,0,6,0,695
5610,2,0,32,1,11,1,4,1,0,5,0,420
2893,6,0,52,0,12,0,2,1,1,7,1,576
2334,4,0,29,0,13,0,4,1,1,7,1,808
5570,2,0,24,0,12,1,5,1,1,7,1,301
2191,4,0,28,0,12,1,2,0,1,3,0,419
5175,52,0,28,0,12,0,4,1,1,7,1,741
5175,40,0,27,0,12,0,4,1,1,7,1,285
5806,39,1,32,0,14,0,1,1,0,7,0,984
1406,53,0,29,0,12,0,4,1,1,11,1,864
1406,4,0,27,0,12,0,4,1,1,9.5,1,729
2108,1,0,22,0,12,0,1,1,0,9,1,1498
2108,2,0,44,0,12,0,1,1,1,7,1,1369
5046,15,0,55,0,9,1,2,1,1,9,1,655
1970,4,0,20,0,12,0,1,0,0,8,0,567
1971,1,0,50,0,12,0,2,1,1,7,1,954
1970,2,0,46,0,12,0,5,1,1,7,1,1234
5048,98,1,40,0,12,1,7,0,1,12,0,0
5495,24,0,33,0,10,1,1,0,0,13,0,277
5055,52,0,36,0,11,1,6,1,1,13,1,333
5178,5,0,53,0,5,0,2,0,1,7,1,495
5182,2,0,26,0,12,1,1,0,0,7,1,494
5464,12,0,31,0,10,1,4,1,1,7,0,956
2392,2,0,38,0,8,0,8,1,1,7,1,758
5192,6,0,29,0,12,1,1,0,0,9,0,259
6368,3,0,54,0,6,1,5,1,1,9,1,1763
6368,3,0,53,0,6,1,4,1,1,7,1,688
5646,1,0,47,0,11,1,3,0,0,7,0,576
5505,8,0,31,0,12,0,4,1,1,5,1,835
1733,12,0,30,1,14,0,1,1,0,7,1,741
1533,2,0,51,0,10,0,3,1,1,7,1,1107
557,8,0,22,0,11,0,3,1,1,3,0,226
6644,3,0,42,0,8,0,4,0,1,10,1,359
2016,1,0,26,0,14,0,1,0,0,8,0,801
2016,3,0,25,0,14,0,1,0,0,9.5,0,654
581,2,0,58,1,11,0,1,1,0,7,1,556
581,3,0,57,1,11,0,1,1,0,5,1,553
709,43,0,25,0,10,0,6,0,1,12,0,376
5790,7,0,43,0,12,0,3,1,1,4,1,1179
2013,20,0,57,0,10,0,5,1,1,9.5,1,429
1206,26,1,54,0,10,0,2,1,1,9.5,1,2783
1292,6,0,44,0,12,0,5,1,1,10,1,1349
131,1,0,50,0,4,0,3,1,1,7,1,657
694,20,1,44,0,8,0,4,1,1,10,1,1626
6615,4,0,25,1,12,1,2,1,0,8,1,641
6615,14,0,24,1,12,1,2,1,0,9.5,1,694
1129,13,1,46,0,3,1,9,1,1,5,1,472
2530,3,0,28,0,12,0,4,1,1,7,1,1578
712,3,0,24,0,12,0,2,0,1,5,0,828
5203,17,1,52,0,12,0,3,1,0,5,0,923
2927,2,0,58,0,8,1,2,0,1,5,1,1006
5819,2,0,24,0,10,1,2,0,1,7,1,131
5819,16,0,24,0,10,1,3,1,1,7,0,444
5913,3,0,26,0,10,0,4,1,1,7,0,902
1628,1,0,24,0,12,0,2,1,1,7,1,1487
119,12,0,41,0,13,0,4,1,1,13,1,815
319,30,1,31,1,15,0,1,1,0,12,1,1339
319,22,0,30,1,15,0,1,1,0,11,1,1225
5057,52,1,26,0,11,1,1,0,0,12,0,0
5057,52,1,25,0,11,1,1,1,0,13,0,813
5684,14,0,20,1,14,1,2,0,0,7,0,284
5714,18,1,46,0,8,1,3,1,1,8,1,952
5714,17,1,45,0,8,1,4,1,1,9.5,1,652
2011,18,1,25,0,12,0,3,1,1,8,1,883
2011,5,0,24,0,12,0,3,1,1,9.5,1,696
2502,1,0,24,0,12,0,4,0,1,9.5,1,273
6165,22,0,23,1,16,1,2,1,0,9.5,0,867
6113,1,0,24,0,10,0,4,0,1,9.5,1,404
5014,4,0,22,0,13,1,3,0,1,9,0,927
2441,7,0,42,1,8,0,1,1,0,12,0,699
2441,8,0,26,1,8,0,2,1,1,7,0,747
5707,4,0,34,0,12,0,3,1,1,5,1,1168
5707,16,0,32,0,12,0,3,1,1,5,1,870
6646,2,0,24,0,8,1,4,0,0,5,0,370
6469,3,0,40,0,12,0,5,0,1,7,1,531
6469,8,0,39,0,12,0,5,0,1,7,1,654
2054,8,0,23,0,16,0,2,1,1,7,1,1127
1511,52,1,34,1,11,1,3,1,0,11,0,0
41,43,1,26,0,12,0,4,1,1,11,1,691
722,31,1,30,0,17,0,3,0,0,5,0,1706
1762,21,1,27,0,12,0,4,1,1,6,1,694
5035,94,1,31,0,10,1,3,1,1,10,0,0
6050,98,1,25,1,11,1,4,0,0,7,0,0
5782,30,0,43,1,13,1,4,0,0,7,0,563
5177,35,1,22,1,11,1,2,0,0,3,0,375
5904,1,0,32,0,12,1,4,0,1,7,0,680
5904,4,0,31,0,12,1,3,1,1,7,0,994
5177,24,0,24,0,10,1,1,1,0,7,0,316
2557,13,0,26,0,13,1,1,1,1,7,0,442
6188,6,0,50,0,4,1,3,0,1,9,1,1000
6189,21,0,35,1,11,1,5,1,0,7,1,343
6615,1,0,24,0,15,1,4,1,1,8,0,446
6615,22,1,23,0,15,1,4,1,1,5,0,223
6377,19,0,21,0,12,1,3,1,1,7,0,452
536,3,0,55,0,7,0,2,1,1,7,1,896
536,1,0,28,0,12,0,7,1,1,7,1,475
6281,2,0,45,0,13,1,3,1,1,5,0,500
6281,17,1,22,1,12,1,4,1,0,7,0,298
