Diameter,Height
18.9,20
15.5,16.8
19.4,20.2
20,20
29.8,20.2
19.8,18
20.3,17.8
20,19.2
22,22.3
23.6,18.9
14.8,13.3
22.7,20.6
18.5,19
21.5,19.2
14.8,16.1
17.7,19.9
21,20.4
15.9,17.6
16.6,18.8
15.5,16.9
13.7,16.3
27.5,21.4
20.3,19.2
22.9,19.8
14.1,18.5
10.1,12.1
5.8,8
20.7,17.4
17.8,18.4
11.4,17.3
14.4,16.6
13.4,12.9
17.8,17.5
20.7,19.4
13.3,15.5
22.9,19.2
