Spell,Ethnicity,Censored,Prevalent
13,5,1,0
23,4,1,0
8,5,0,0
4,5,0,0
21,5,1,0
3,3,0,0
2,5,0,0
34,2,1,0
24,5,1,0
19,2,1,0
5,3,0,0
5,3,0,0
2,3,0,0
2,5,0,0
4,5,1,0
26,5,1,0
33,5,1,0
1,5,0,0
8,5,1,0
11,5,0,0
28,5,1,0
16,5,1,0
25,5,0,0
3,2,0,0
2,5,0,0
15,5,1,0
28,5,1,0
5,5,0,0
5,5,0,0
2,5,1,0
11,5,1,0
5,5,0,0
6,5,1,0
5,5,0,0
15,5,0,0
3,5,1,0
6,5,0,0
6,5,0,0
8,5,0,0
2,5,0,0
2,5,1,0
7,5,0,0
17,5,0,0
35,5,1,0
8,5,0,0
5,5,1,0
32,4,1,0
3,5,0,0
6,5,0,0
26,5,0,0
17,5,1,0
15,5,0,0
16,5,1,0
4,3,0,0
8,3,1,0
2,5,0,0
4,5,0,0
28,2,1,0
3,5,1,0
2,3,0,0
3,3,0,0
1,5,0,0
18,5,1,0
9,5,0,0
6,5,0,0
27,5,1,0
6,2,0,0
8,5,0,0
5,5,0,0
6,5,0,0
1,4,0,0
10,5,0,0
1,5,1,0
2,5,0,0
4,5,0,0
3,5,0,0
15,2,1,0
4,5,0,0
4,2,0,0
4,5,1,0
2,5,0,0
1,5,1,0
19,5,0,0
12,5,1,0
2,5,0,0
11,5,1,0
10,5,0,0
9,5,0,0
19,5,0,0
21,5,1,0
2,5,0,0
29,5,1,0
3,5,0,0
2,5,0,0
6,5,1,0
13,5,1,0
12,5,1,0
8,5,0,0
3,5,0,0
5,4,0,0
23,4,1,0
