start,stop,AliveTVC,WinnerTVC,ID,Sex,USA,White,NameChange,Drama,Birth,Final,Alive,Films,FourStarFilms,Wins,Noms,FirstFilmYear,FirstWinYear,FirstNomYear
0,48,1,0,59,0,No,Yes,No,Yes,1907,1973,0,33,7,1,2,1941,1955,1955
48,66,0,1,59,0,No,Yes,No,Yes,1907,1973,0,33,7,1,2,1941,1955,1955
0,11,1,0,60,0,No,Yes,No,Yes,1982,2001,1,5,2,1,1,1993,1993,1993
11,19,1,1,60,0,No,Yes,No,Yes,1982,2001,1,5,2,1,1,1993,1993,1993
0,54,1,0,61,0,Yes,Yes,No,Yes,1947,2001,1,39,1,0,1,1972,NA,1987
0,31,1,0,62,0,Yes,Yes,Yes,Yes,1931,2001,1,59,8,1,5,1952,1962,1962
31,70,1,1,62,0,Yes,Yes,Yes,Yes,1931,2001,1,59,8,1,5,1952,1962,1962
0,23,1,0,63,0,Yes,Yes,No,Yes,1923,1985,0,71,12,1,2,1940,1946,1946
23,62,0,1,63,0,Yes,Yes,No,Yes,1923,1985,0,71,12,1,2,1940,1946,1946
0,71,1,0,64,0,Yes,Yes,No,Yes,1930,2001,1,78,14,0,0,1947,NA,NA
0,78,0,0,65,0,Yes,Yes,Yes,No,1893,1971,0,54,8,0,0,1935,NA,NA
0,60,0,0,66,0,Yes,Yes,No,Yes,1928,1988,0,36,3,0,1,1972,NA,1987
0,42,1,0,67,0,Yes,Yes,No,Yes,1903,1990,0,42,8,1,3,1934,1945,1943
42,87,0,1,67,0,Yes,Yes,No,Yes,1903,1990,0,42,8,1,3,1934,1945,1943
0,75,0,0,68,0,Yes,Yes,Yes,Yes,1918,1993,0,53,7,0,1,1925,NA,1937
0,43,1,0,69,0,Yes,Yes,No,Yes,1958,2001,1,19,3,0,2,1986,NA,1990
0,69,1,0,70,0,No,Yes,Yes,Yes,1932,2001,1,55,5,0,1,1948,NA,1966
0,73,1,0,71,1,Yes,Yes,Yes,Yes,1928,2001,1,67,5,0,1,1957,NA,1957
0,61,0,0,72,1,Yes,Yes,No,No,1927,1988,0,52,13,0,0,1955,NA,NA
0,54,1,0,73,1,No,Yes,No,Yes,1937,2001,1,70,14,1,4,1960,1991,1968
54,64,1,1,73,1,No,Yes,No,Yes,1937,2001,1,70,14,1,4,1960,1991,1968
0,75,0,0,74,1,No,Yes,No,Yes,1902,1977,0,38,10,0,0,1946,NA,NA
0,60,0,0,75,1,Yes,Yes,No,Yes,1932,1992,0,59,7,0,1,1953,NA,1956
0,76,0,0,76,1,No,Yes,No,Yes,1913,1989,0,68,13,0,1,1936,NA,1969
0,36,1,0,77,1,No,Yes,No,Yes,1916,2001,1,156,14,2,4,1936,1952,1952
36,85,1,1,77,1,No,Yes,No,Yes,1916,2001,1,156,14,2,4,1936,1952,1952
0,66,0,0,78,1,Yes,Yes,No,Yes,1909,1975,0,96,3,0,0,1937,NA,NA
0,75,0,0,79,1,Yes,Yes,No,Yes,1889,1964,0,32,5,0,0,1935,NA,NA
0,62,1,0,80,0,Yes,Yes,No,No,1939,2001,1,26,1,0,0,1963,NA,NA
0,71,1,0,81,1,No,Yes,No,Yes,1930,2001,1,54,4,0,1,1964,NA,1996
0,56,1,0,82,1,Yes,Yes,No,No,1918,2001,1,108,11,1,1,1941,1974,1974
56,83,1,1,82,1,Yes,Yes,No,No,1918,2001,1,108,11,1,1,1941,1974,1974
0,71,0,0,83,1,Yes,Yes,No,Yes,1914,1985,0,11,3,0,0,1942,NA,NA
0,68,0,0,84,1,Yes,Yes,No,No,1911,1979,0,56,7,0,1,1942,NA,1952
